ID,时刻,wxd,气压高度,Height高度,航班ID,日期
1957,0:53:31,514,560,527,14861,20170124
1957,0:53:31,503.3,560,527,14861,20170124
1957,0:53:31,486.1,560,527,14861,20170124
1957,0:53:31,488.4,560,527,14861,20170124
1958,0:53:32,492.1,552,519,14861,20170124
1958,0:53:32,480.4,552,519,14861,20170124
1958,0:53:32,481.8,552,519,14861,20170124
1958,0:53:32,465.1,552,519,14861,20170124
1959,0:53:33,461.1,544,511,14861,20170124
1959,0:53:33,474.6,544,511,14861,20170124
1959,0:53:33,475.9,544,511,14861,20170124
1959,0:53:33,471.5,544,511,14861,20170124
1960,0:53:34,465,524,491,14861,20170124
1960,0:53:34,460.1,524,491,14861,20170124
1960,0:53:34,456.5,524,491,14861,20170124
1960,0:53:34,460.6,524,491,14861,20170124
1961,0:53:35,468,516,483,14861,20170124
1961,0:53:35,427.3,516,483,14861,20170124
1961,0:53:35,440.8,516,483,14861,20170124
1961,0:53:35,442.3,516,483,14861,20170124
1962,0:53:36,393.4,508,475,14861,20170124
1962,0:53:36,420.3,508,475,14861,20170124
1962,0:53:36,442,508,475,14861,20170124
1962,0:53:36,444.9,508,475,14861,20170124
1963,0:53:37,440.9,496,463,14861,20170124
1963,0:53:37,435,496,463,14861,20170124
1963,0:53:37,419.9,496,463,14861,20170124
1963,0:53:37,403.1,496,463,14861,20170124
1964,0:53:38,396.3,480,447,14861,20170124
1964,0:53:38,408.1,480,447,14861,20170124
1964,0:53:38,422.3,480,447,14861,20170124
1964,0:53:38,425,480,447,14861,20170124
1965,0:53:39,422.5,468,435,14861,20170124
1965,0:53:39,421.1,468,435,14861,20170124
1965,0:53:39,417,468,435,14861,20170124
1965,0:53:39,415.9,468,435,14861,20170124
1966,0:53:40,410.1,460,427,14861,20170124
1966,0:53:40,401.3,460,427,14861,20170124
1966,0:53:40,399.4,460,427,14861,20170124
1966,0:53:40,398.5,460,427,14861,20170124
1967,0:53:41,400.6,452,419,14861,20170124
1967,0:53:41,405.4,452,419,14861,20170124
1967,0:53:41,402,452,419,14861,20170124
1967,0:53:41,396,452,419,14861,20170124
1968,0:53:42,394.4,432,399,14861,20170124
1968,0:53:42,388.3,432,399,14861,20170124
1968,0:53:42,386.8,432,399,14861,20170124
1968,0:53:42,375.5,432,399,14861,20170124
1969,0:53:43,376.5,424,391,14861,20170124
1969,0:53:43,378.3,424,391,14861,20170124
1969,0:53:43,378.5,424,391,14861,20170124
1969,0:53:43,380.3,424,391,14861,20170124
1970,0:53:44,377.9,412,379,14861,20170124
1970,0:53:44,365,412,379,14861,20170124
1970,0:53:44,361.4,412,379,14861,20170124
1970,0:53:44,351.8,412,379,14861,20170124
1971,0:53:45,352,404,371,14861,20170124
1971,0:53:45,348.3,404,371,14861,20170124
1971,0:53:45,337.9,404,371,14861,20170124
1971,0:53:45,321.1,404,371,14861,20170124
1972,0:53:46,328.4,384,351,14861,20170124
1972,0:53:46,335.4,384,351,14861,20170124
1972,0:53:46,329.9,384,351,14861,20170124
1972,0:53:46,326.1,384,351,14861,20170124
1973,0:53:47,331.5,376,343,14861,20170124
1973,0:53:47,331,376,343,14861,20170124
1973,0:53:47,318.3,376,343,14861,20170124
1973,0:53:47,301.1,376,343,14861,20170124
1974,0:53:48,299.6,364,331,14861,20170124
1974,0:53:48,292.1,364,331,14861,20170124
1974,0:53:48,290.1,364,331,14861,20170124
1974,0:53:48,289.6,364,331,14861,20170124
1975,0:53:49,285.6,356,323,14861,20170124
1975,0:53:49,282.9,356,323,14861,20170124
1975,0:53:49,297.3,356,323,14861,20170124
1975,0:53:49,305,356,323,14861,20170124
1976,0:53:50,289.4,336,303,14861,20170124
1976,0:53:50,290,336,303,14861,20170124
1976,0:53:50,291.9,336,303,14861,20170124
1976,0:53:50,286.4,336,303,14861,20170124
1977,0:53:51,287.1,328,295,14861,20170124
1977,0:53:51,286,328,295,14861,20170124
1977,0:53:51,281.1,328,295,14861,20170124
1977,0:53:51,283.4,328,295,14861,20170124
1978,0:53:52,282.6,316,283,14861,20170124
1978,0:53:52,278.9,316,283,14861,20170124
1978,0:53:52,279.3,316,283,14861,20170124
1978,0:53:52,274.9,316,283,14861,20170124
1979,0:53:53,274.4,308,275,14861,20170124
1979,0:53:53,267.3,308,275,14861,20170124
1979,0:53:53,267.5,308,275,14861,20170124
1979,0:53:53,257.3,308,275,14861,20170124
1980,0:53:54,248.4,288,255,14861,20170124
1980,0:53:54,249.8,288,255,14861,20170124
1980,0:53:54,245.6,288,255,14861,20170124
1980,0:53:54,240,288,255,14861,20170124
1981,0:53:55,239,280,247,14861,20170124
1981,0:53:55,238.3,280,247,14861,20170124
1981,0:53:55,233.4,280,247,14861,20170124
1981,0:53:55,225.6,280,247,14861,20170124
1982,0:53:56,225,272,239,14861,20170124
1982,0:53:56,227,272,239,14861,20170124
1982,0:53:56,226.3,272,239,14861,20170124
1982,0:53:56,207.6,272,239,14861,20170124
1983,0:53:57,197.1,264,231,14861,20170124
1983,0:53:57,203.6,264,231,14861,20170124
1983,0:53:57,215,264,231,14861,20170124
1983,0:53:57,209.4,264,231,14861,20170124
1984,0:53:58,184.6,244,211,14861,20170124
1984,0:53:58,183.9,244,211,14861,20170124
1984,0:53:58,195.6,244,211,14861,20170124
1984,0:53:58,201.1,244,211,14861,20170124
1985,0:53:59,199.3,236,203,14861,20170124
1985,0:53:59,196,236,203,14861,20170124
1985,0:53:59,194.8,236,203,14861,20170124
1985,0:53:59,190.4,236,203,14861,20170124
1986,0:54:00,190,228,195,14861,20170124
1986,0:54:00,184.9,228,195,14861,20170124
1986,0:54:00,184.3,228,195,14861,20170124
1986,0:54:00,181.6,228,195,14861,20170124
1987,0:54:01,179.1,216,183,14861,20170124
1987,0:54:01,174.5,216,183,14861,20170124
1987,0:54:01,174.6,216,183,14861,20170124
1987,0:54:01,169.1,216,183,14861,20170124
1988,0:54:02,167.6,200,167,14861,20170124
1988,0:54:02,164.9,200,167,14861,20170124
1988,0:54:02,163.4,200,167,14861,20170124
1988,0:54:02,158.1,200,167,14861,20170124
1989,0:54:03,157.8,188,155,14861,20170124
1989,0:54:03,152.1,188,155,14861,20170124
1989,0:54:03,150.8,188,155,14861,20170124
1989,0:54:03,147.3,188,155,14861,20170124
1990,0:54:04,144.9,180,147,14861,20170124
1990,0:54:04,142.4,180,147,14861,20170124
1990,0:54:04,141.3,180,147,14861,20170124
1990,0:54:04,137.4,180,147,14861,20170124
1991,0:54:05,134,172,139,14861,20170124
1991,0:54:05,131,172,139,14861,20170124
1991,0:54:05,129.6,172,139,14861,20170124
